#,Date,Report Name,Publisher,Tier,Category,Status,Corrected_URL,Format,Notes
1,2025-11,State of AI 2025,McKinsey QuantumBlack,1,MBB,EXISTS,https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai,Article+PDF,30 pages PDF available
2,2025-12,Agents Robots and Us,McKinsey MGI,1,MBB,EXISTS,https://www.mckinsey.com/mgi/overview,Article+PDF,Future of work report
3,2025-11,AI in Banking: Rewiring the Enterprise,McKinsey,1,MBB,EXISTS,https://www.mckinsey.com/industries/financial-services/our-insights/extracting-value-from-ai-in-banking-rewiring-the-enterprise,Article+PDF,Banking AI transformation
4,2025-12,GenAI in Healthcare,McKinsey,1,MBB,EXISTS,https://www.mckinsey.com/industries/healthcare/our-insights/generative-ai-in-healthcare-adoption-trends-and-whats-next,Article+PDF,Healthcare AI adoption
5,2026-01,Tech Trends 2026,McKinsey,1,MBB,NOT_FOUND,N/A,N/A,2025 version only (July 2025) - OUTSIDE TIMEFRAME
6,2025-11,QuantumBlack AI Perspectives,McKinsey,1,MBB,NOT_FOUND,N/A,N/A,Merged into State of AI
7,2025-12,Economic Potential of GenAI,McKinsey MGI,1,MBB,EXISTS,https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-economic-potential-of-generative-ai-the-next-productivity-frontier,Article+PDF,Original report
8,2026-01,CES 2026 Agenda,McKinsey,1,MBB,EXISTS,https://www.mckinsey.com/featured-insights/themes/whats-on-the-ces-2026-agenda,Article,CES coverage
9,2025-12,AI in Manufacturing,McKinsey,1,MBB,EXISTS,https://www.mckinsey.com/capabilities/operations/our-insights/from-pilots-to-performance-how-coos-can-scale-ai-in-manufacturing,Article+PDF,Manufacturing AI
10,2026-01,AI-Powered Organization,McKinsey,1,MBB,NOT_FOUND,N/A,N/A,Superagency article is Jan 2025 - OUTSIDE TIMEFRAME
11,2025-11,Leading in Age of AI Agents,BCG,1,MBB,EXISTS,https://www.bcg.com/publications/2025/machines-that-manage-themselves,Article,Saved as MD
12,2025-11,How Agentic AI Transforming Enterprise,BCG,1,MBB,EXISTS,https://www.bcg.com/publications/2025/how-agentic-ai-is-transforming-enterprise-platforms,Article,Saved as MD
13,2025-12,AI Agents in Healthcare,BCG,1,MBB,EXISTS,https://www.bcg.com/publications/2026/how-ai-agents-will-transform-health-care,Article,Dec 2025 publication
14,2025-12,Retail Predictions 2026,BCG,1,MBB,EXISTS,https://www.bcg.com/publications/2026/united-states-retail-predictions,Article,Jan 2026 publication
15,2025-12,Making AI Agents Safe,BCG,1,MBB,EXISTS,https://www.bcg.com/publications/2025/making-ai-agents-safe-for-world,Article,Saved as MD
16,2025-12,AI Cybersecurity,BCG,1,MBB,EXISTS,https://www.bcg.com/publications/2025/ai-raising-stakes-in-cybersecurity,Article+PDF,Dec 2025 with slideshow
17,2026-01,Climate AI,BCG,1,MBB,NOT_FOUND,N/A,N/A,No report within timeframe
18,2026-01,Financial Services AI,BCG,1,MBB,EXISTS,https://www.bcg.com/publications/2025/convergence-human-ai-finance-era,Article,Finance AI convergence
19,2025-11,Technology Report 2025,Bain,1,MBB,EXISTS,https://www.bain.com/insights/topics/technology-report/,Landing+PDF,Main tech report hub
20,2025-11,State of Agentic AI,Bain,1,MBB,EXISTS,https://www.bain.com/insights/state-of-the-art-of-agentic-ai-transformation-technology-report-2025/,Article+PDF,Agentic AI deep dive
21,2025-12,Retail Sales Outlook 2026,Bain,1,MBB,EXISTS,https://www.bain.com/insights/2026-global-retail-sales-outlook-snap-chart/,Article,Snap chart format
22,2025-12,M&A Report 2026,Bain,1,MBB,EXISTS,https://www.bain.com/insights/topics/m-and-a-report/,Landing+PDF,Jan 27 2026 publication
23,2026-01,Private Equity 2026,Bain,1,MBB,EXISTS,https://www.bain.com/insights/global-private-equity-report-2026/,Article+PDF,PE report
24,2025-11,Tech Trends 2026,Deloitte,1,Big4,EXISTS,https://www.deloitte.com/us/en/insights/focus/tech-trends.html,Interactive+PDF,PDF download available
25,2025-12,State of AI Enterprise 6th,Deloitte,1,Big4,EXISTS,https://www.deloitte.com/us/en/insights/topics/ai/state-of-ai-enterprise.html,Article+PDF,Enterprise AI survey
26,2025-12,2026 Global TMT Predictions,Deloitte,1,Big4,EXISTS,https://www.deloitte.com/us/en/insights/industry/tmt-predictions.html,Interactive+PDF,TMT predictions
